rule,source_url,last_verified,status,notes
Regelaltersgrenze Tabelle (Geburtsjahr 1947-1964+),https://www.smart-rechner.de/rentenbeginn/ratgeber/renteneintrittsalter_tabelle.php,2026-08-01,covered,"Table complete 1947 (65J1M) bis 1963 (66J10M), ab 1964=67J. Rechtsgrundlage SS35/235 SGB VI. 1 Monat/Jahrgang 1947-1958, 2 Monate/Jahrgang ab 1959."
Altersrente fuer besonders langjaehrig Versicherte / Rente mit 63 (45 Beitragsjahre),https://www.versicherungsriese.de/rente-mit-63-tabelle + WebSearch cross-source (kzvk.de tabelle-altersgrenzen.pdf title match),2026-08-01,covered,"<=1952: 63J abschlagsfrei. 1953-1957: +2 Monate/Jahrgang (63J2M bis 63J10M). 1958: 64J. 1959-1963: +2 Monate/Jahrgang (64J2M bis 64J10M). Ab 1964: 65J. 2 sources cross-checked (1953-1958 via search synthesis, 1959-1964 via versicherungsriese table), coherent progression +2mois/an."
Abschlag Fruehrente (allgemein, vor Regelaltersgrenze),WebSearch synthese (deutschland-rechner.de/fruehrente-rechner + vermoegenszentrum.de/wissen/rentenabschlag),2026-08-01,covered,"0,3% pro Monat vorzeitiger Rentenbeginn, lebenslang. Max 14,4% bei 48 Monaten (4 Jahre) Vorbezug. Rechtsgrundlage SS77 SGB VI."
Rentenbesteuerung Besteuerungsanteil (Rentenbeginn-Jahr -> % steuerpflichtig),https://www.steuerschroeder.de/Rentenbesteuerung.html,2026-08-01,covered,"Tabelle bis 2005=50% / 2010=60% / 2015=70% / 2020=80% / 2021=81% / 2022=82% / 2023=82.5% / 2024=83% / 2025=83.5% / 2026=84% / 2027=84.5% / 2028=85% / 2030=86% / 2040=91% / 2050=96% / 2057=99.5% / ab 2058=100%. Formel ableitbar: bis 2005 fix 50%, 2006-2020 +2pp/Jahr, 2021-2022 +1pp/Jahr, ab 2023 +0.5pp/Jahr (Wachstumschancengesetz 27.03.2024, rueckwirkend ab 2023, SS22 Nr.1 Satz3 Buchst.a EStG). Konsistent mit 2. Quelle (buerger-geld.org: 2025=83.5%, 2026=84%, 2027=84.5% match exakt)."
KVdR Beitragssatz 2026 (gesetzliche Krankenversicherung Rentner),WebSearch synthese (buerger-geld.org/news/finanzen/kvdr-2026 + kkdirekt.de),2026-08-01,covered,"Allgemeiner Beitragssatz 14,6% gesamt, Rentner-Eigenanteil 7,3% (Haelfte) + halber Zusatzbeitrag (Durchschnitt 2026 = 2,9%, also 1,45% Eigenanteil) = ca. 8,75% Gesamtabzug KV. Rentenversicherung zahlt den anderen Teil direkt an Krankenkasse."
Pflegeversicherung Rentner 2026,WebSearch synthese (pflege-helfer24.de/pflegeversicherung/pflegebeitraege-2026),2026-08-01,covered,"3,6% Beitragssatz, voll vom Rentner getragen (keine Aufteilung wie bei KV). Kinderlose (ab 23 Jahre, kein Nachweis Kind) +0,6% Zuschlag = 4,2%. Rechtsgrundlage SS55 SGB XI."
Betriebsrente KVdR-Freibetrag 2026,https://www.buerger-geld.org/news/rente/betriebsrente-2026-so-hoch-ist-der-neue-freibetrag-wirklich/ + gegen-hartz.de cross-source,2026-08-01,covered,"Freibetrag KV 2026 = 197,75 EUR/Monat, gilt NUR fuer KVdR-Pflichtversicherte (nicht freiwillig Versicherte). KV-Beitragssatz auf Betriebsrente = VOLLER Satz 17,5% (14,6% allgemein + voller Zusatzbeitrag 2,9%, KEIN Arbeitgeber-/DRV-Anteil wie bei gesetzlicher Rente), angewendet NUR auf den Betrag UEBER dem Freibetrag (Freibetrag = Abzug von der Bemessungsgrundlage). Pflegeversicherung: KEIN Freibetrag, sondern Freigrenze - bei Ueberschreiten wird die GESAMTE Betriebsrente verbeitragt (3,6%/4,2%), nicht nur der ueberschiessende Teil. Mechanik Freibetrag (KV) vs Freigrenze (Pflege) explizit unterschiedlich, 2 Quellen kreuzgeprueft."
Betriebsrente Freibetrag/Freigrenze Rechtsgrundlage (SS-Zitate fuer E-E-A-T retrofit),WebSearch synthese (bundestag.de/resource/blob/972182/WD-9-061-23-pd.pdf + heldt-zuelch.de/bav-lexikon + buzer.de/57_SGB_11.htm + rentenbescheid24.de/rente-freibetrag-2026),2026-08-01,covered,"KV-Freibetrag Betriebsrente: SS226 Abs.2 SGB V (GKV-Betriebsrentenfreibetragsgesetz, seit 01.01.2020). Pflegeversicherung-Freigrenze: SS57 Abs.1 SGB XI i.V.m. SS226 Abs.2 Satz1 SGB V. BEIDE Schwellenwerte = 1/20 monatliche Bezugsgroesse (SS18 SGB IV, 2026 = 3.955EUR/Monat einheitlich, kein West/Ost mehr seit 2025) -> 3955/20 = 197,75EUR, DAHER fuer 2026 numerisch IDENTISCH (bestaetigt durch rentenbescheid24.de + buerger-geld.org fuer 2026-Wert). Vorsicht: in Vorjahren mit unterschiedlicher West/Ost-Bezugsgroesse konnten beide Werte divergieren — bei jaehrlicher Reverifikation die Bezugsgroesse-Herkunft nicht als 'immer gleich' annehmen, neu nachrechnen."
Aktueller Rentenwert 2026 (ab 01.07.2026),https://www.bundesregierung.de/breg-de/aktuelles/rentenanpassung-2026-2337000 + deutsche-rentenversicherung.de/DRV/DE/Ueber-uns-und-Presse/Presse/Meldungen/2026/260429-rentenanpassung-2026-bundeskabinett.html,2026-08-01,covered,"42,52EUR ab 01.07.2026 (vorher 40,79EUR), +4,24%. Bundeskabinett Verordnung Ende April 2026, Bundesrat-Zustimmung 12.06.2026. Seit 2024 bundesweit einheitlich (kein Ost/West-Unterschied mehr). Fuer Rentenpunkte-Rechner: Bruttorente = Entgeltpunkte x 42,52EUR."
Vorlaeufiges Durchschnittsentgelt 2026 (SS69 Abs.2 SGB VI / Anlage 1 SGB VI),WebSearch synthese (sozialversicherung-kompetent.de/1006-durchschnittsentgelt + Bundesrat Drucksache 567/25),2026-08-01,covered,"51.944EUR/Jahr fuer 2026, gilt als vorlaeufiger Wert bis der endgueltige Wert in 2 Jahren per Verordnung festgesetzt wird. Formel Entgeltpunkte = Bruttojahresgehalt (bis BBG gedeckelt) / 51.944EUR."
